key,box_score
10000bc2008,18.4908838517
20122009,19.2171741499
anonymous2011,15.4858362946
godzilla1998,18.953718405
independenceday1996,19.5513040386
stargate1994,18.1447989599
whitehousedown2013,18.2058289666
102dalmatians2000,17.8950254956
enchanted2007,19.1649177674
10thingsihateaboutyou1999,17.8176898414
10years2012,12.340949818
11flowers2013,9.47532952844
127hours2010,16.2083362774
28dayslater2003,17.7786337573
millions2005,14.3493551807
shallowgrave1995,14.9995516045
slumdogmillionaire2008,17.3976061008
trainspotting1996,16.4398905505
trance2013,15.0600041372
12rounds2009,16.02101146
5daysofwar2011,10.2783649877
deepbluesea1999,18.3360316915
diehard21990,18.6304701504
13assassins2011,13.712669208
gozu2004,10.8163379576
sukiyakiwesterndjango2008,11.6740096943
13goingon302004,18.1585641787
bridewars2009,17.9429624379
letterstojuliet2010,17.6392444618
13sins2014,9.21579133539
13tzameti2006,11.6444416202
14082007,18.2930311785
derailed2005,16.5942792049
16blocks2006,17.6012592579
conspiracytheory1997,18.2284755076
lethalweapon1987,17.6553378575
lethalweapon21989,18.9324993752
lethalweapon31992,18.7499350401
lethalweapon41998,18.7991554677
scrooged1988,18.229542468
superman1978,18.2017351435
17again2009,18.0719229031
charliestcloud2010,17.2102405457
igbygoesdown2002,15.8951391993
20462005,14.9009805329
fallenangels1998,12.9771593188
inthemoodforlove2001,15.2465434923
20feetfromstardom2013,14.4769096387
212008,17.9639859736
legallyblonde2001,18.2527634845
paranoia2013,15.5184273701
21andover2013,16.685103208
21grams2003,15.7813606345
amoresperros2001,14.5916605598
babel2006,16.9412781966
21jumpstreet2012,18.7934473105
cloudywithachanceofmeatballs2009,19.1664914743
25thhour2002,14.7399816378
4littlegirls1997,13.3776841569
clockers1995,17.0812384778
dotherightthing1989,17.7863146771
hegotgame1998,17.7101135818
insideman2006,18.9063260372
malcolmx1992,18.2633119573
miracleatstanna2008,15.9222176766
summerofsam1999,17.4461209542
27dresses2008,17.95403083
stepup2006,17.9022659965
28days2000,17.2915147221
drdolittle1998,18.7377981608
ispy2002,17.1094972535
johntuckermustdie2006,17.6502086552
privateparts1997,18.4600386003
28weekslater2007,17.4485344846
intruders2012,11.7051686076
2daysinnewyork2012,12.9950617131
2daysinparis2007,15.1737116648
2fast2furious2003,18.8735868761
boyznthehood1991,18.4682652469
